date,ADVANCECON HOLDINGS BERHAD,AHMAD ZAKI RESOURCES BERHAD- WA 14/24,AHMAD ZAKI RESOURCES BHD,BENALEC HOLDINGS BERHAD,BINA PURI HOLDINGS BHD,BREM HOLDINGS BHD,CREST BUILDER HOLDINGS BHD,DKLS INDUSTRIES BHD,ECONPILE HOLDINGS BERHAD - WARRANTS A 2018/2023,ECONPILE HOLDINGS BHD,EKOVEST BHD,EKOVEST BHD-WARRANTS B 14/19,EVERSENDAI CORPORATION BERHAD,FAJARBARU BUILDER GROUP BERHAD - WARRANTS B 14/19,FAJARBARU BUILDER GRP BHD,GABUNGAN AQRS BERHAD,GABUNGAN AQRS BERHAD-WARRANTS B,GADANG HOLDINGS BHD,GADANG HOLDINGS BHD - WARRANTS 2016 / 2021,GAMUDA BERHAD-WARRANTS E,GAMUDA BHD,GEORGE KENT (M) BHD,HO HUP CONSTRUCTION COMPANY,HOCK SENG LEE BHD,IJM CORPORATION BHD,IKHMAS JAYA GROUP BERHAD,INTA BINA GROUP BERHAD,IREKA CORPORATION BERHAD-WB 14/19,IREKA CORPORATION BHD,JAKS RESOURCES BERHAD,JAKS RESOURCES BERHAD-WARRANTS B,KERJAYA PROSPEK GROUP BERHAD,KERJAYA PROSPEK GROUP BERHAD - WARRANTS B 2018/2023,KIMLUN CORPORATION BERHAD,KIMLUN CORPORATION BERHAD -WA 14/24,LEBTECH BERHAD,MELATI EHSAN HOLDINGS BHD,MERCURY INDUSTRIES BHD,MERGE ENERGY BHD,MGB BERHAD,MGB BHD - WARRANTS A 2014/2019,MITRAJAYA HOLDINGS BERHAD - WARRANTS E 2018/2023,MITRAJAYA HOLDINGS BERHAD-WARRANTS D 15/20,MITRAJAYA HOLDINGS BHD,MTD ACPI ENGINEERING BHD,MUDAJAYA GROUP BHD,MUHIBBAH ENGINEERING (M) BHD,OCR GROUP BERHAD,OCR GROUP BERHAD - IRREDEEMABLE CONVERTIBLE PREFERENCE SHARE 2016/2021,OCR GROUP BERHAD - WARRANTS 2016/2021,OCR GROUP BERHAD - WARRANTS 2019/2022,PESONA METRO HOLDINGS BERHAD - WARRANTS C,PESONA METRO HOLDINGS BHD,PIMPINAN EHSAN BERHAD,PINTARAS JAYA BHD,PRINSIPTEK CORPORATION BERHAD - WARRANTS A,PRINSIPTEK CORPORATION BHD,PROTASCO BERHAD - WARRANTS A 2018/2023,PROTASCO BHD,PUNCAK NIAGA HOLDINGS BHD,SUNWAY CONSTRUCTION GROUP BERHAD,SYCAL VENTURES BHD,TRC SYNERGY BHD,TSR CAPITAL BERHAD-WARRANTS B 16/20,TSR CAPITAL BHD,VIZIONE HOLDINGS BERHAD,VIZIONE HOLDINGS BERHAD-WARRANTS 2017/2022,WCE HOLDINGS BERHAD,WCT HOLDINGS BERHAD,WCT HOLDINGS BERHAD-WARRANTS E,ZECON BHD,ZELAN BHD
2019-02-26,-0.04225352112676045,0.05128205128205118,0.0714285714285715,-0.02439024390243891,-0.05128205128205133,-0.006622516556291397,-0.0050761421319797,0.0,-0.15384615384615388,-0.15094339622641512,-0.035398230088495415,-0.05263157894736847,-0.01769911504424761,-0.22222222222222213,-0.05000000000000005,-0.04273504273504258,-0.08333333333333323,-0.03968253968253972,-0.10344827586206888,0.02083333333333336,0.024475524475524577,-0.035398230088495415,-0.03658536585365844,0.006369426751592361,0.04787234042553196,-0.14285714285714282,0.0,0.0,0.017543859649122823,-0.04724409448818902,-0.07575757575757583,-0.03759398496240605,0.0,-0.007692307692307699,0.0,0.0,0.0,0.0,0.21348314606741572,0.007042253521126767,-0.1250000000000001,-0.05882352941176475,-0.12499999999999993,-0.05797101449275353,-0.09090909090909098,-0.029850746268656737,0.0,-0.040000000000000036,-0.1666666666666666,0.0,-0.14285714285714296,0.0,-0.0833333333333333,-0.012048192771084348,0.0,0.0,0.0,0.0,-0.05769230769230775,-0.02439024390243891,0.017341040462427758,0.04444444444444436,0.0,0.0,0.09756097560975616,-0.024752475247524768,-0.02439024390243891,-0.019230769230769246,0.0,0.0,-0.06000000000000005,0.0
2019-02-27,-0.029411764705882373,0.07317073170731714,0.09999999999999996,-0.05000000000000005,0.0,0.0,0.02040816326530614,0.0,-0.0454545454545455,-0.01111111111111112,0.0,-0.055555555555555455,0.0,0.14285714285714274,0.02631578947368424,0.0,0.0,0.008264462809917363,0.038461538461538484,0.0,0.003412969283276377,-0.009174311926605512,-0.012658227848101276,-0.012658227848101276,-0.0406091370558376,0.0,-0.0169491525423729,1.0,-0.017241379310344845,-0.049586776859504175,-0.03278688524590167,-0.031250000000000035,0.0,-0.038759689922480654,0.0,0.0,0.0,0.0,-0.009259259259259271,0.0,0.17142857142857146,0.0,-0.14285714285714296,0.0,0.0,-0.015384615384615398,-0.013377926421404692,-0.02083333333333336,0.0,-0.1666666666666666,0.0,0.0,0.02272727272727275,0.0,-0.008695652173913052,0.0,-0.038461538461538484,-0.07692307692307697,-0.02040816326530614,-0.012500000000000013,0.005681818181818186,0.0,-0.017543859649122633,0.0,-0.04444444444444448,0.0,-0.012500000000000013,0.01960784313725492,-0.011560693641618507,-0.06250000000000007,0.042553191489361736,0.0
2019-02-28,0.015151515151515162,-0.1136363636363636,-0.101010101010101,0.0,0.027027027027027053,0.0,-0.010000000000000007,0.05294117647058828,-0.04761904761904753,-0.08988764044943816,-0.018348623853211024,-0.05882352941176475,-0.018018018018018032,0.0,-0.038461538461538484,-0.01785714285714287,-0.05454545454545458,-0.024590163934426253,0.0,-0.02040816326530614,0.0,-0.0277777777777778,-0.06410256410256415,0.006410256410256415,-0.04761904761904755,-0.03333333333333337,-0.051724137931034336,-0.5,-0.08771929824561392,-0.02608695652173896,-0.0338983050847458,0.01612903225806453,0.0,0.03225806451612906,0.0,0.0,0.0,-0.02272727272727275,0.028037383177570117,0.013986013986014,0.07317073170731714,-0.06250000000000007,0.0,-0.015384615384615398,0.03333333333333337,-0.12499999999999993,0.013559322033898315,0.021276595744680868,0.1999999999999999,0.4000000000000001,-0.0833333333333333,-0.25,-0.11111111111111108,0.012195121951219523,0.0,0.0,0.040000000000000036,-0.1666666666666666,-0.04166666666666659,-0.07594936708860765,-0.016949152542372895,-0.02127659574468076,-0.01785714285714287,0.0,0.046511627906976785,-0.0050761421319797,0.0,-0.019230769230769246,-0.01169590643274855,-0.06666666666666654,-0.08163265306122447,0.0
2019-03-01,0.014925373134328368,0.02564102564102566,-0.022471910112359567,-0.02631578947368424,-0.05263157894736847,0.0,0.0,0.0,0.15,0.08641975308641969,0.03738317757009349,0.12499999999999993,0.07339449541284389,0.0,0.02666666666666669,0.0181818181818182,0.019230769230769246,-0.016806722689075647,0.0,-0.04166666666666659,-0.00680272108843538,0.028571428571428595,0.027397260273972632,-0.03184713375796181,0.01666666666666668,-0.10344827586206888,-0.0181818181818182,0.0,0.019230769230769246,0.08035714285714272,0.1403508771929826,-0.015873015873015886,0.0,-0.023437500000000017,0.0,0.0,-0.05000000000000005,0.0,0.0181818181818182,0.013793103448275874,0.0,-0.06666666666666654,0.16666666666666682,0.06250000000000007,0.0,0.035714285714285546,0.003344481605351099,0.02083333333333336,-0.3333333333333333,0.0,0.0,0.0,0.024999999999999883,-0.006024096385542174,-0.008771929824561412,-0.1666666666666666,0.0,0.09999999999999996,0.06521739130434775,0.013698630136986314,0.011494252873563229,-0.021739130434782625,-0.04545454545454549,-0.22222222222222213,0.0,0.015306122448979604,0.06329113924050624,0.0,-0.03550295857988168,0.07142857142857129,0.02222222222222224,0.2727272727272728
2019-03-04,0.014705882352941025,0.024999999999999883,0.0,0.054054054054054106,0.05555555555555562,0.0,0.0,0.0,0.0,0.0,0.04504504504504488,0.11111111111111124,-0.01709401709401711,0.0,-0.012987012987012998,0.04464285714285698,0.05660377358490571,0.0,0.0,-0.021739130434782625,0.0034246575342466545,0.009259259259259271,0.013333333333333345,0.02631578947368424,-0.03278688524590167,0.0,0.03703703703703707,0.0,0.04716981132075476,0.024793388429752088,0.015384615384615398,0.0241935483870968,0.0,0.024000000000000014,0.0,0.0,0.042105263157894784,0.0,0.13392857142857134,0.05442176870748304,0.0454545454545455,0.0,0.0,-0.029411764705882373,-0.06451612903225812,0.06896551724137938,0.0,-0.02040816326530614,0.0,-0.2857142857142857,-0.09090909090909087,0.0,0.024390243902439046,0.0181818181818182,0.004424778761062049,0.0,-0.038461538461538484,0.0,0.0,0.0,-0.005681818181818186,0.04444444444444436,0.009523809523809532,0.0,0.0,-0.010050251256281416,0.0,0.0,0.006134969325153381,0.0,-0.021739130434782625,0.14285714285714274
2019-03-05,0.014492753623188418,-0.02439024390243891,-0.011494252873563229,0.0,0.02631578947368424,0.0,-0.015151515151515166,0.0,-0.04347826086956525,-0.011363636363636373,-0.017241379310344845,0.0,0.008695652173913052,-0.12499999999999993,0.013157894736842115,-0.008547008547008555,-0.01785714285714287,-0.008547008547008555,-0.07407407407407414,0.02222222222222224,0.013651877133105813,-0.018348623853211024,0.0,-0.006410256410256415,0.016949152542372895,0.0,-0.01785714285714287,0.0,0.0,-0.01612903225806453,-0.015151515151515162,-0.007874015748031503,-0.08510638297872336,-0.031250000000000035,0.0,0.0,-0.06060606060606055,0.0,0.10236220472440936,0.03225806451612906,0.30434782608695643,0.0,0.0,-0.015151515151515162,-0.034482758620689495,-0.04838709677419359,-0.009999999999999934,0.0,0.0,0.0,0.09999999999999996,0.0,0.0,0.0,-0.013215859030836918,0.1999999999999999,0.040000000000000036,-0.09090909090909087,0.0,-0.027027027027027053,-0.01142857142857144,0.0,0.009433962264150952,0.0,-0.08888888888888896,0.0,-0.04761904761904753,0.0,-0.02439024390243891,-0.13333333333333328,0.02222222222222224,0.06250000000000007
2019-03-06,0.0,0.024999999999999883,0.06976744186046517,0.0,0.05128205128205118,0.0,0.0051282051282051325,-0.011173184357541908,0.0,0.011494252873563229,0.008771929824561412,-0.05000000000000005,0.06896551724137938,0.14285714285714274,0.038961038961039,0.0,0.0181818181818182,0.06896551724137938,0.1200000000000001,0.0,0.00673400673400674,0.03738317757009349,0.013157894736842115,-0.006451612903225812,0.06111111111111104,0.11538461538461528,0.0,0.0,0.0,0.14754098360655732,0.07692307692307683,0.007936507936507943,-0.046511627906976785,-0.01612903225806453,0.0,0.0,0.02150537634408592,0.046511627906976785,-0.07142857142857134,0.0,-0.05000000000000005,0.28571428571428553,0.0,0.030769230769230795,0.07142857142857129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523832,0.011904761904761916,0.008928571428571237,0.0,-0.038461538461538484,0.09999999999999996,0.06122448979591843,0.027777777777777804,0.02890173410404627,-0.042553191489361625,-0.009345794392523372,0.0,0.0,-0.0050761421319797,0.0,-0.03921568627450984,0.01874999999999988,0.15384615384615374,0.08695652173913039,0.05882352941176459
2019-03-07,0.0714285714285715,0.0,0.010869565217391313,0.0,-0.04878048780487796,0.0,0.005102040816326535,0.0,0.09090909090909087,0.05681818181818187,0.008695652173913052,0.1052631578947368,-0.0241935483870968,-0.12499999999999993,-0.012500000000000013,0.03448275862068969,0.0,-0.0241935483870968,-0.03571428571428574,0.02173913043478251,0.0,0.0,0.0,-0.038961038961039,0.005235602094240842,0.0,-0.0181818181818182,0.0,0.0,0.0142857142857143,0.0428571428571429,-0.02362204724409451,-0.02439024390243891,0.0,0.0,0.0,-0.010526315789473694,0.0,0.030769230769230795,-0.018750000000000017,0.0,-0.11111111111111106,0.0,0.014925373134328368,0.06666666666666674,0.08474576271186449,0.0,-0.02083333333333336,0.0,0.1999999999999999,0.0,0.0,-0.0232558139534884,0.0,0.0,0.0,0.040000000000000036,0.0,-0.019230769230769246,0.06756756756756763,0.0,0.02222222222222224,0.009433962264150952,0.28571428571428553,0.0,0.01020408163265307,0.0,0.02040816326530614,-0.0061349693251532425,0.0,0.040000000000000036,-0.055555555555555455
2019-03-08,0.040000000000000036,0.024390243902439046,0.02150537634408592,0.02564102564102566,-0.02564102564102566,0.0,0.0152284263959391,-0.03389830508474579,0.0,0.02150537634408592,0.008620689655172422,0.0,-0.008264462809917363,0.14285714285714274,0.012658227848101276,0.016666666666666684,0.08928571428571416,0.008264462809917363,0.03703703703703707,-0.02127659574468076,-0.003344481605351248,0.08108108108108095,0.0,-0.027027027027027053,0.03645833333333337,0.03448275862068969,0.0,0.0,0.027027027027026848,-0.014084507042253534,0.013698630136986314,0.03225806451612906,-0.07500000000000008,0.016393442622950834,0.16129032258064513,-0.005813953488372097,0.0,-0.04444444444444448,-0.02238805970149256,-0.02547770700636945,-0.12280701754385955,0.12499999999999993,0.14285714285714274,0.11764705882352935,0.0,-0.046875000000000035,-0.00673400673400674,0.0,0.2500000000000001,0.0,-0.09090909090909087,0.0,0.0,0.05882352941176476,-0.004424778761061853,-0.1666666666666666,-0.038461538461538484,0.0,-0.01960784313725492,-0.012658227848101276,0.0,-0.021739130434782625,0.0,0.0,-0.02439024390243891,-0.015151515151515166,0.0,0.09000000000000008,0.006172839506172707,-0.06666666666666654,-0.019230769230769246,0.05882352941176459
2019-03-11,0.02564102564102566,0.023809523809523832,-0.010526315789473694,-0.025000000000000026,-0.02631578947368424,0.0,0.05000000000000005,0.0,0.04166666666666671,0.010526315789473694,0.0,0.04761904761904767,-0.07499999999999989,-0.12499999999999993,0.024999999999999883,0.016393442622950834,0.0,0.008196721311475417,0.0,-0.021739130434782625,-0.00671140939597316,-0.008333333333333342,-0.012987012987012998,-0.013888888888888902,-0.02010050251256283,-0.06666666666666654,-0.01851851851851853,0.0,0.0,0.07857142857142865,0.16216216216216214,-0.007812500000000007,-0.027027027027027053,0.0,0.0,0.0,0.0,0.0,-0.007633587786259549,-0.006535947712418306,0.0,-0.055555555555555455,0.0,-0.013157894736842115,0.0,0.06557377049180334,-0.016949152542372968,0.0,-0.20000000000000004,0.0,0.0,0.0,-0.023809523809523832,-0.061111111111111165,0.00444444444444435,0.0,0.040000000000000036,-0.09090909090909087,-0.02000000000000001,-0.02564102564102566,0.005617977528089893,0.02222222222222224,0.028037383177570117,0.0,0.0,0.0,0.0,-0.027522935779816536,0.02453987730061352,0.07142857142857129,0.0,-0.11111111111111106
2019-03-12,-0.025000000000000026,-0.0232558139534884,0.010638297872340436,-0.02564102564102566,0.0,0.0,-0.019047619047619063,0.01169590643274855,0.0,0.02083333333333336,0.008547008547008555,0.0,0.0,0.28571428571428553,0.09756097560975616,-0.01612903225806453,-0.016393442622950834,0.05691056910569111,0.17857142857142852,0.02222222222222224,0.0,0.008403361344537823,0.07894736842105256,-0.007042253521126767,0.0051282051282051325,0.035714285714285546,0.03773584905660381,0.0,0.0,0.033112582781456984,0.10465116279069764,-0.007874015748031503,0.0,0.0,-0.08333333333333326,0.0,0.0,-0.011627906976744195,-0.007692307692307699,-0.013157894736842115,0.0,0.1764705882352941,0.2500000000000001,0.10666666666666663,0.031250000000000035,0.030769230769230795,0.017241379310344918,0.021276595744680868,0.0,0.0,0.09999999999999996,0.0,0.048780487804878085,0.06508875739644976,-0.013274336283185756,0.0,0.0,0.09999999999999996,0.04081632653061228,0.013157894736842115,-0.005586592178770954,0.02173913043478251,0.03636363636363619,0.22222222222222227,0.0,0.0051282051282051325,0.0,0.08490566037735835,0.011976047904191628,0.0,-0.03921568627450984,0.0
2019-03-13,0.1025641025641025,-0.023809523809523832,-0.010526315789473694,0.05263157894736847,0.027027027027027053,0.040000000000000036,0.009708737864077678,0.0,-0.040000000000000036,-0.030612244897959214,-0.0508474576271185,-0.18181818181818185,0.027027027027026848,0.0,0.0,0.008196721311475417,-0.016666666666666684,0.05384615384615389,0.21212121212121213,0.0,-0.02027027027027029,-0.016666666666666684,0.07317073170731714,0.0,0.01020408163265307,-0.034482758620689495,0.0181818181818182,0.0,-0.017543859649122633,0.01282051282051283,0.05263157894736848,0.0,0.05555555555555562,-0.01612903225806453,0.0,0.0,0.0,-0.023529411764705903,0.12403100775193793,0.0,0.0,-0.05000000000000005,0.0,-0.012048192771084348,-0.030303030303030325,-0.029850746268656737,-0.016949152542372968,-0.02083333333333336,0.0,0.0,-0.09090909090909087,0.22222222222222227,0.046511627906976785,-0.0555555555555556,-0.01345291479820619,0.4000000000000001,0.0,-0.09090909090909087,0.0,0.05194805194805199,0.03370786516853935,0.0,0.13157894736842118,-0.18181818181818185,0.0,-0.015306122448979604,-0.07500000000000008,-0.008695652173913052,-0.0059171597633136145,0.0,0.08163265306122458,0.2500000000000001
2019-03-14,-0.0232558139534884,-0.02439024390243891,0.0,0.04999999999999991,0.02631578947368424,-0.038461538461538484,0.0,0.0,-0.04166666666666659,0.021052631578947392,0.0,0.05555555555555562,-0.026315789473684043,-0.11111111111111106,-0.02222222222222224,-0.016260162601626032,0.0169491525423729,-0.014598540145985413,-0.05000000000000005,-0.04347826086956525,-0.003448275862068892,0.0,-0.011363636363636373,0.04964539007092203,0.0050505050505050535,0.17857142857142852,-0.01785714285714287,0.0,0.0,0.01898734177215192,0.05000000000000005,0.0,0.05263157894736847,0.008196721311475417,0.0,0.0,-0.02127659574468076,-0.03012048192771074,-0.027586206896551748,0.0,-0.040000000000000036,0.05263157894736847,0.0,0.012195121951219523,0.031250000000000035,0.015384615384615398,0.003448275862069045,0.08510638297872349,0.2500000000000001,0.16666666666666682,0.3,-0.09090909090909087,0.02222222222222224,0.0,-0.009090909090909096,0.14285714285714274,0.038461538461538484,0.1999999999999999,-0.01960784313725492,0.012345679012345552,0.0,0.0,0.031007751937984523,0.0,0.0,0.010362694300518144,0.0,-0.008771929824561412,-0.023809523809523832,0.0,0.2075471698113207,0.0
2019-03-15,0.023809523809523832,0.04999999999999991,0.010638297872340436,0.0,0.0,0.02666666666666669,0.0,0.011560693641618507,-0.04347826086956525,-0.06185567010309272,0.008928571428571237,0.0,-0.018018018018018032,-0.12499999999999993,-0.0454545454545455,0.016528925619834725,0.016666666666666684,0.007407407407407414,0.02631578947368424,0.02272727272727275,0.010380622837370174,-0.00847457627118645,-0.011494252873563229,0.0,0.0,-0.030303030303030325,0.0,0.0,0.0,-0.03726708074534165,-0.04761904761904767,-0.007936507936507943,0.0,0.008130081300813016,0.0,0.0,0.0,0.0,0.014184397163120581,-0.040000000000000036,0.0,0.09999999999999996,-0.10000000000000007,-0.012048192771084348,0.030303030303030325,0.0,0.013745704467353964,0.01960784313725492,-0.20000000000000004,-0.14285714285714296,0.07692307692307697,0.09999999999999996,0.08695652173913039,0.05882352941176476,0.009174311926605512,-0.12499999999999993,-0.03703703703703707,0.08333333333333341,0.10000000000000007,-0.03658536585365844,0.010869565217391313,0.0,-0.022556390977443632,0.0,0.0,0.0051282051282051325,0.0,-0.035398230088495415,0.012195121951219523,0.0,-0.06250000000000007,0.04999999999999991
2019-03-18,0.046511627906976785,0.28571428571428586,0.11578947368421065,0.0,-0.02564102564102566,-0.025974025974026,0.12499999999999988,0.0,0.09090909090909087,0.04395604395604387,-0.02654867256637151,-0.1052631578947368,-0.09174311926605512,0.14285714285714274,0.04761904761904767,0.008130081300813016,0.0,-0.007352941176470593,0.02564102564102566,0.0,0.0034246575342466545,-0.02564102564102566,0.011627906976744195,-0.006756756756756763,0.015075376884422126,-0.031250000000000035,-0.0181818181818182,0.0,0.0,-0.01935483870967744,0.0,0.0,-0.025000000000000026,-0.008064516129032265,0.0,0.0,0.0,0.05590062111801234,0.0,0.05555555555555562,0.0,0.0,0.3333333333333333,0.06097560975609762,0.08823529411764698,-0.030303030303030325,0.013559322033898315,-0.019230769230769246,0.0,0.0,-0.07142857142857148,0.0,0.0,0.0,-0.022727272727272846,0.0,0.0,-0.07692307692307697,-0.05454545454545458,0.0,-0.00537634408602151,0.0,-0.023076923076923096,0.0,0.0,0.0,0.04054054054054058,-0.03669724770642205,0.0,0.06666666666666674,0.0,-0.0952380952380952
