date,ADVENTA BHD,APEX HEALTHCARE BHD,DUOPHARMA BIOTECH BERHAD,HARTALEGA HOLDINGS BHD,IHH HEALTHCARE BERHAD,KOSSAN RUBBER INDUSTRIES BHD,KOTRA INDUSTRIES BHD,KPJ HEALTHCARE BHD,PHARMANIAGA BHD,SUPERMAX CORPORATION BHD,TMC LIFE SCIENCES BERHAD WARRANTS B,TMC LIFE SCIENCES BHD,TOP GLOVE CORPORATION BHD,Y.S.P.SOUTHEAST ASIA HOLDING
2019-02-26,0.0,-0.028409090909090905,,-0.022727272727272745,-0.008695652173913012,0.00759493670886071,0.0,-0.02830188679245285,-0.007843137254901971,-0.006369426751592361,0.0,0.0,-0.004166666666666578,0.0
2019-02-27,-0.04054054054054058,0.01754385964912264,,-0.007751937984496131,-0.007017543859649129,-0.002512562814070298,0.0,-0.019417475728155355,-0.015810276679841737,-0.006410256410256415,0.0,0.0,-0.02092050209205032,0.006944444444444451
2019-02-28,0.028169014084507067,0.02873563218390805,,-0.023437500000000017,0.012367491166077788,-0.02267002518891695,-0.011235955056179784,0.0,-0.03614457831325313,-0.012903225806451623,0.0,0.0,-0.02991452991452985,0.0
2019-03-01,0.013698630136986314,0.07039106145251406,,0.02799999999999993,0.010471204188481608,-0.007731958762886549,-0.005681818181818186,0.0,-0.02083333333333326,0.026143790849673224,0.0,0.0,0.022026431718061595,0.006896551724137937
2019-03-04,-0.027027027027027053,0.02192066805845502,,-0.007782101167315181,-0.0017271157167529855,-0.012987012987013056,0.0,0.0,0.021276595744680767,-0.019108280254777087,-0.2500000000000001,-0.006896551724137937,-0.008620689655172422,-0.006849315068493157
2019-03-05,-0.013888888888888902,-0.0020429009193053704,0.0,-0.02156862745098028,0.017301038062283676,-0.01315789473684206,0.02285714285714288,0.029702970297029733,-0.016666666666666684,0.0,1.0,0.027777777777777804,0.0,0.0
2019-03-06,0.0,-0.011258955987717444,0.0,-0.012024048096192484,-0.00680272108843538,-0.005333333333333338,0.0,0.0,0.00847457627118645,-0.012987012987012998,0.0,0.013513513513513526,-0.004347826086956429,-0.024137931034482703
2019-03-07,0.08450704225352121,-0.007246376811594232,-0.017391304347826105,0.006085192697768814,0.010273972602739812,0.013404825737265369,0.005586592178770954,-0.009615384615384623,0.008403361344537823,0.013157894736842115,0.0,-0.02000000000000001,0.0021834061135370714,0.007067137809187284
2019-03-08,0.0,-0.020855057351407642,-0.01769911504424761,0.006048387096774244,-0.003389830508474655,0.0,0.0,0.009708737864077678,0.0,-0.012987012987012998,-0.3333333333333333,-0.00680272108843538,0.0,0.017543859649122744
2019-03-11,-0.07792207792207799,-0.003194888178913859,-0.018018018018018032,-0.04809619238476958,-0.0034013605442176145,-0.03174603174603166,0.0,-0.009615384615384623,-0.02083333333333326,-0.02631578947368424,0.0,0.0,-0.030501089324618667,-0.020689655172413814
2019-03-12,0.0,-0.016025641025640875,0.018348623853211024,-0.008421052631578954,-0.0017064846416383404,0.0027322404371584114,-0.01111111111111112,0.009708737864077678,0.004255319148936079,0.013513513513513526,0.2500000000000001,0.013698630136986314,0.002247191011235907,-0.003521126760563305
2019-03-13,0.0,-0.013029315960912159,0.0,-0.029723991507430925,0.010256410256410341,-0.024523160762942742,-0.028089887640449455,-0.019230769230769246,-0.00423728813559313,-0.02666666666666669,0.0,0.006756756756756763,-0.03139013452914791,0.014134275618374569
2019-03-14,0.014084507042253534,-0.0066006600660066545,0.0,0.010940919037199084,-0.003384094754653208,0.011173184357541908,0.0,0.0,0.0,0.0,-0.20000000000000004,-0.01342281879194632,0.01851851851851853,-0.010452961672473952
2019-03-15,0.0,0.02990033222591377,-0.009009009009009016,0.030303030303030238,-0.018675721561969345,0.01933701657458559,0.0,0.01960784313725492,-0.004255319148936268,0.020547945205479468,0.2500000000000001,0.0,0.03636363636363619,-0.003521126760563305
2019-03-18,0.04166666666666671,0.00537634408602139,0.0181818181818182,0.014705882352941237,0.012110726643598512,-0.013550135501354966,-0.017341040462427758,-0.009615384615384623,0.004273504273504373,-0.020134228187919486,-0.20000000000000004,-0.01360544217687076,-0.008771929824561412,0.0
2019-03-19,-0.05333333333333338,-0.01604278074866314,0.017857142857142672,-0.016563146997929618,-0.001709401709401673,0.0,0.0,0.0,0.0,-0.013698630136986314,-0.2500000000000001,0.0,-0.004424778761061853,0.003533568904593564
2019-03-20,0.0,-0.009782608695652159,0.017543859649122823,0.01052631578947365,0.0017123287671232511,-0.00824175824175831,0.0,0.0,0.004255319148936079,0.006944444444444451,0.0,-0.006896551724137937,0.0177777777777778,0.003521126760563462
2019-03-21,-0.014084507042253534,0.00987925356750822,0.03448275862068969,-0.018749999999999968,-0.01025641025641019,-0.013850415512465323,0.0,0.009708737864077678,-0.00423728813559313,-0.006896551724137937,-0.3333333333333333,0.006944444444444451,-0.02620087336244544,0.010526315789473616
2019-03-22,0.0285714285714286,0.00543478260869573,0.0,-0.01910828025477704,0.00518134715025911,-0.01966292134831456,0.0,0.0,0.021276595744680767,-0.006944444444444451,0.4999999999999999,-0.006896551724137937,-0.006726457399103196,0.0
2019-03-25,-0.013888888888888902,-0.009729729729729714,0.0,-0.010822510822510784,-0.005154639175257774,-0.0028653295128940486,0.0,-0.028846153846153882,-0.012499999999999921,-0.006993006993007,0.0,0.006944444444444451,0.011286681715575779,-0.010416666666666598
2019-03-26,-0.014084507042253534,-0.0021834061135370714,-0.008333333333333342,-0.00437636761487975,0.0017271157167529855,-0.005747126436781614,0.0,-0.014851485148514863,-0.01265822784810137,0.0,-0.3333333333333333,-0.006896551724137937,0.004464285714285619,0.010526315789473616
2019-03-27,0.0142857142857143,-0.013129102844639058,0.0,0.0175824175824176,0.0,0.0,0.0,0.0,-0.02564102564102566,0.021126760563380302,0.0,-0.006944444444444451,0.0,0.0
2019-03-28,0.0,-0.016629711751663008,0.06722689075630259,-0.004319654427645697,0.0,0.011560693641618507,0.0,0.005025125628140708,-0.0043859649122806104,-0.013793103448275874,0.0,0.027972027972028,-0.002222222222222175,-0.006944444444444451
2019-03-29,0.0,0.0,0.007874015748031503,0.004338394793926155,-0.005172413793103493,0.00571428571428572,-0.005882352941176476,-0.02000000000000001,0.0,0.027972027972028,0.0,-0.01360544217687076,0.028953229398663675,-0.003496503496503422
2019-04-01,-0.014084507042253534,-0.0011273957158962555,0.007812500000000007,0.01727861771058317,-0.03466204506065846,0.02272727272727275,0.0,0.015306122448979604,0.0,0.02721088435374152,0.0,0.0,0.0,-0.01052631578947377
2019-04-02,0.0,-0.006772009029345228,0.007751937984496131,0.00636942675159241,-0.026929982046678697,-0.00555555555555556,-0.017751479289940846,0.0,-0.017621145374449355,0.0,1.0,0.006896551724137937,0.004329004329004236,0.010638297872340514
2019-04-03,0.0,0.0,-0.007692307692307699,0.016877637130801704,0.03321033210332098,0.0,-0.01807228915662653,-0.005025125628140708,-0.035874439461883435,0.04635761589403978,0.0,0.020547945205479468,0.008620689655172422,0.0
2019-04-04,0.0142857142857143,0.009090909090909096,-0.007751937984496131,-0.006224066390041545,0.0,0.0027932960893854147,0.0,0.03030303030303033,-0.018604651162790715,-0.031645569620253194,0.0,-0.00671140939597316,-0.006410256410256274,-0.01052631578947377
2019-04-05,-0.014084507042253534,0.004504504504504408,0.023437500000000017,-0.0041753653444677385,0.0,-0.011142061281337058,0.0,-0.01960784313725492,-0.014218009478672891,-0.026143790849673224,-0.2500000000000001,-0.013513513513513526,-0.010752688172043164,0.003546099290780224
2019-04-08,0.0,0.02242152466367705,-0.007633587786259549,-0.006289308176100496,-0.0035714285714284954,0.005633802816901414,0.0,0.010000000000000007,-0.019230769230769246,0.0,0.0,0.020547945205479468,-0.0021739130434782145,0.003533568904593564
2019-04-09,0.0285714285714286,-0.003289473684210457,0.0,0.0021097046413501657,-0.003584229390681087,-0.011204481792717096,0.0,0.0,0.004901960784313621,-0.020134228187919486,-0.3333333333333333,0.0,0.0,-0.007042253521126767
2019-04-10,-0.027777777777777804,0.0011001100110010766,0.038461538461538484,-0.012631578947368341,0.007194244604316555,-0.00283286118980164,0.0,0.00990099009900991,0.0,0.027397260273972632,0.0,-0.00671140939597316,-0.0043572984749454405,0.003546099290780224
2019-04-11,0.0285714285714286,0.0,0.007407407407407414,0.0,-0.008928571428571397,-0.011363636363636373,0.0,-0.01960784313725492,-0.014634146341463318,0.0,0.0,0.0,-0.00437636761487975,0.0
2019-04-12,0.0,-0.0175824175824176,-0.007352941176470593,0.0042643923240937255,0.009009009009008978,0.0,0.04294478527607366,0.010000000000000007,-0.004950495049505065,0.013333333333333345,0.0,0.0,0.0,0.003533568904593564
