date,EDEN INC. BERHAD - WARRANTS B 2018/2021,EDEN INC. BHD,GAS MALAYSIA BERHAD,KUMPULAN PERANGSANG SELANGOR,MALAKOFF CORPORATION BERHAD,MEGA FIRST CORPORATION BERHAD - WARRANTS A 2016/2020,MEGA FIRST CORPORATION BHD,PBA HOLDINGS BHD,PETRONAS GAS BHD,RANHILL HOLDINGS BERHAD,SALCON BERHAD - WARRANTS B 2018/2025,SALCON BHD,TALIWORKS CORPORATION BHD,TENAGA NASIONAL BHD,YTL CORPORATION BHD,YTL POWER INTERNATIONAL BHD
2019-02-26,-0.10000000000000007,-0.04347826086956525,0.010526315789473616,-0.028169014084507067,-0.02673796791443853,-0.011363636363636373,0.0,0.0,-0.0010976948408342247,-0.0072992700729927066,0.0,-0.03921568627450984,0.017543859649122823,-0.004444444444444481,-0.008771929824561412,0.005524861878453044
2019-02-27,0.11111111111111124,0.0454545454545455,0.0,0.03623188405797105,-0.016483516483516498,-0.028735632183908073,0.0,0.008064516129032265,0.002197802197802151,0.0,-0.06250000000000007,-0.02040816326530614,-0.011494252873563229,0.002976190476190545,-0.01769911504424761,0.0
2019-02-28,0.0,-0.04347826086956525,-0.006944444444444451,-0.05594405594405584,-0.005586592178770954,-0.029585798816568074,-0.010309278350515474,0.0,-0.008771929824561412,-0.014705882352941187,-0.06666666666666654,0.0,-0.005813953488372097,-0.004451038575667692,-0.045045045045045085,-0.021978021978022
2019-03-01,-0.10000000000000007,0.0454545454545455,-0.013986013986014,-0.02222222222222224,0.011235955056179784,-0.012195121951219388,0.002604166666666727,-0.08800000000000008,-0.016592920353982146,0.0,0.07142857142857129,0.02083333333333336,0.005847953216374275,-0.02533532041728762,-0.03773584905660381,-0.03370786516853935
2019-03-04,-0.11111111111111106,-0.04347826086956525,0.0,-0.007575757575757581,0.00555555555555556,0.006172839506172707,-0.015584415584415597,0.017543859649122823,-0.002249718785152008,-0.007462686567164184,0.0,0.04081632653061228,0.0,-0.009174311926605444,0.00980392156862746,0.0
2019-03-05,0.0,0.0454545454545455,0.0,0.015267175572519097,0.011049723756906087,0.01226993865030676,0.01319261213720312,-0.008620689655172422,-0.0011273957158962555,-0.0075187969924812095,0.0,-0.01960784313725492,-0.017441860465116296,-0.012345679012345687,-0.009708737864077678,0.0
2019-03-06,0.12499999999999993,0.0,0.003546099290780224,0.0,0.005464480874316943,-0.012121212121212132,-0.010416666666666676,-0.008695652173913052,0.009029345372460505,0.0,0.0,0.0,0.017751479289940846,0.0,0.0,0.005813953488372097
2019-03-07,0.11111111111111124,0.0,-0.010600706713781006,0.0,-0.005434782608695656,-0.0061349693251532425,0.0,0.017543859649122823,0.0011185682326621683,-0.015151515151515162,0.06666666666666674,0.0,-0.011627906976744195,0.0015624999999999667,0.06862745098039222,0.017341040462427758
2019-03-08,-0.20000000000000004,0.04347826086956513,0.0035714285714286533,-0.015037593984962419,-0.005464480874316943,-0.012345679012345687,0.00789473684210533,-0.008620689655172422,-0.008938547486033526,-0.007692307692307699,0.0,0.02000000000000001,0.017647058823529432,-0.009360374414976676,-0.009174311926605512,-0.011363636363636373
2019-03-11,0.0,-0.04166666666666659,-0.0071174377224199345,-0.007633587786259549,-0.005494505494505499,0.0,-0.007832898172323825,-0.008695652173913052,0.0,-0.007751937984496131,0.0,0.0,-0.05202312138728328,-0.006299212598425203,-0.009259259259259271,-0.017241379310344845
2019-03-12,0.0,0.04347826086956513,0.014336917562724025,0.030769230769230795,-0.011049723756906087,-0.018750000000000017,0.0,0.008771929824561412,0.0011273957158964554,0.07031250000000007,0.06250000000000007,0.05882352941176475,0.03048780487804881,0.001584786053882833,-0.028037383177570117,0.01169590643274855
2019-03-13,0.12499999999999993,-0.04166666666666659,0.0,-0.014925373134328368,-0.005586592178770954,0.10191082802547766,0.02631578947368424,0.008695652173913052,-0.003378378378378506,0.014598540145985254,0.05882352941176459,0.05555555555555538,0.0059171597633136145,0.0047468354430378725,0.009615384615384623,0.0
2019-03-14,0.0,0.04347826086956513,0.003533568904593564,0.07575757575757565,0.016853932584269676,0.0,0.0051282051282051325,-0.008620689655172422,-0.0011299435028248347,-0.021582733812949503,0.05555555555555562,0.03508771929824565,0.02941176470588238,-0.004724409448818797,0.009523809523809532,0.0
2019-03-15,0.0,0.0,0.010563380281690227,0.007042253521126767,-0.005524861878453044,-0.0057803468208092535,-0.005102040816326535,0.0,0.0011312217194569894,0.0,-0.05263157894736847,-0.0338983050847458,0.04571428571428576,0.0031645569620252488,0.03773584905660381,-0.040462427745664775
2019-03-18,0.11111111111111124,0.04166666666666671,0.0104529616724738,0.0,0.06111111111111104,-0.005813953488372097,-0.002564102564102509,0.0,0.003389830508474705,0.007352941176470593,-0.055555555555555455,0.0,0.005464480874316943,0.029968454258675142,0.009090909090909096,0.030120481927710867
2019-03-19,0.1999999999999999,0.1200000000000001,-0.006896551724137937,-0.034965034965034995,-0.02094240837696325,-0.029239766081871368,-0.005141388174807203,0.017391304347826105,-0.003378378378378506,-0.029197080291970826,0.0,-0.05263157894736828,-0.021739130434782625,0.010719754977029004,-0.036036036036036063,-0.005847953216374275
2019-03-20,-0.0833333333333333,-0.03571428571428574,0.0,0.014492753623188418,-0.032085561497326234,-0.006024096385542174,-0.015503875968992262,0.0,0.0,-0.03759398496240605,0.05882352941176459,0.07407407407407393,-0.02222222222222224,-0.013636363636363615,0.009345794392523372,0.005882352941176476
2019-03-21,-0.09090909090909087,0.0,0.003472222222222303,0.0,0.027624309392265217,-0.0060606060606060675,0.007874015748031444,-0.008547008547008555,0.0,0.015625000000000014,0.0,-0.017241379310344845,0.0,-0.010752688172042918,-0.009259259259259271,0.0
2019-03-22,-0.10000000000000007,-0.03703703703703707,-0.0034602076124568273,-0.0142857142857143,-0.01075268817204302,0.024390243902439046,-0.013020833333333287,0.017241379310344845,0.009039548022598879,0.030769230769230795,-0.055555555555555455,-0.017543859649122633,0.039772727272727314,0.0,0.028037383177570117,-0.01169590643274855
2019-03-25,-0.11111111111111106,-0.038461538461538484,0.0,0.007246376811594209,-0.010869565217391313,0.0,-0.0026385224274406947,0.0,-0.008958566629339314,0.0,0.0,-0.01785714285714287,-0.016393442622950834,-0.00931677018633548,-0.0181818181818182,-0.011834319526627227
2019-03-26,0.12499999999999993,0.040000000000000036,-0.006944444444444451,0.007194244604316555,0.0,-0.011904761904761916,0.002645502645502707,-0.00847457627118645,-0.0056497175141241715,0.007462686567164184,0.0,0.0,0.01111111111111112,0.0,0.009259259259259271,0.011976047904191628
2019-03-27,0.22222222222222227,0.07692307692307697,0.0,-0.0142857142857143,-0.005494505494505499,0.0,0.0026385224274405768,0.0,0.002272727272727224,0.007407407407407414,0.0,0.0,-0.010989010989011,-0.01410658307210029,-0.018348623853211024,0.0
2019-03-28,-0.09090909090909087,-0.07142857142857148,0.0,0.007246376811594209,0.0,0.006024096385542174,0.0,0.008547008547008555,0.002267573696145076,-0.022058823529411783,-0.05882352941176475,-0.0181818181818182,-0.01111111111111112,-0.00476947535771069,-0.018691588785046745,0.011834319526627227
2019-03-29,0.0,0.0,-0.003496503496503422,0.0,0.005524861878453044,0.005988023952095814,0.013157894736842177,0.0,-0.0033936651583709684,-0.015037593984962419,0.12499999999999993,0.01851851851851853,0.0,0.01118210862619813,0.009523809523809532,0.005847953216374275
2019-04-01,0.0,0.038461538461538484,0.0,0.0,0.010989010989011,-0.005952380952380958,-0.002597402597402657,0.00847457627118645,-0.0045402951191828534,0.0,0.0,0.03636363636363619,0.0,-0.003159557661927403,-0.009433962264150952,-0.005813953488372097
2019-04-02,0.0,0.0,0.010526315789473616,0.021582733812949662,-0.01630434782608697,0.0,0.005208333333333338,0.0,-0.0011402508551881171,0.007633587786259549,0.0,-0.017543859649122633,0.011235955056179784,-0.003169572107765384,0.009523809523809532,0.017543859649122823
2019-04-03,0.0,0.0,-0.02083333333333336,0.021126760563380302,0.005524861878453044,-0.011976047904191628,0.0,0.0,0.0011415525114155008,0.007575757575757581,0.0,0.017857142857142672,0.01666666666666668,-0.003179650238473841,0.009433962264150952,0.005747126436781614
2019-04-04,0.0,0.07407407407407393,0.017730496453900804,0.027586206896551748,0.0,0.0,-0.0025906735751294787,-0.016806722689075647,-0.0011402508551881171,0.0,0.0,0.0,-0.005464480874316943,0.007974481658692299,0.03738317757009349,0.00571428571428572
2019-04-05,0.0,0.0,-0.017421602787456542,0.020134228187919486,0.0,-0.0060606060606060675,-0.012987012987013056,0.0,0.0,0.030075187969924838,0.05555555555555562,0.03508771929824565,0.005494505494505499,-0.0015822784810127649,0.0,0.0
2019-04-08,0.1999999999999999,0.13793103448275876,-0.010638297872340358,-0.0065789473684210575,0.0,0.018292682926829285,0.0,0.0,0.004566210045662206,0.03649635036496337,0.0,-0.0169491525423729,-0.005464480874316943,-0.001584786053882692,0.0,0.0
2019-04-09,0.0,0.0,0.03225806451612898,0.006622516556291397,0.005494505494505499,-0.023952095808383256,0.0,-0.008547008547008555,0.004545454545454448,0.028169014084507067,-0.05263157894736847,0.017241379310344845,0.010989010989011,0.0,0.08108108108108095,0.034090909090909116
2019-04-10,0.0,0.030303030303030325,0.0,0.0,-0.005464480874316943,0.0,0.0,0.025862068965517262,-0.0033936651583709684,0.061643835616438415,0.11111111111111124,0.0,0.005434782608695656,-0.0015873015873015535,0.0,0.0
2019-04-11,0.08333333333333341,0.0,-0.0243055555555555,-0.013157894736842115,0.0,0.006134969325153381,0.0,-0.008403361344537823,0.0,-0.03225806451612906,0.0,0.0169491525423729,-0.01081081081081082,-0.04133545310015895,-0.008333333333333342,-0.010989010989011
2019-04-12,-0.07692307692307697,0.0,0.0035587188612098883,0.0,-0.005494505494505499,-0.012195121951219388,0.0,-0.00847457627118645,0.003405221339386987,-0.013333333333333345,-0.05000000000000005,-0.016666666666666684,0.005464480874316943,0.01824212271973457,0.016806722689075647,0.0
