date,ARMADA-C40: CW BUMI ARMADA BERHAD (CIMB),ARMADA-C43: CW BUMI ARMADA BERHAD (MIBB),ARMADA-C45: CW BUMI ARMADA BERHAD (KIBB),ARMADA-C46: CW BUMI ARMADA BERHAD (MIBB),ARMADA-C47: CW BUMI ARMADA BERHAD (MACQ),ARMADA-C48: CW BUMI ARMADA BERHAD (RHB),ARMADA-C49: CW BUMI ARMADA BERHAD (KIBB),ARMADA-C50: CW BUMI ARMADA BERHAD (MACQ),DIALOG-C33: CW DIALOG GROUP BERHAD (CIMB),DIALOG-C35: CW DIALOG GROUP BERHAD (MACQ),DIALOG-C36: CW DIALOG GROUP BERHAD (MIBB),DIALOG-C37: CW DIALOG GROUP BERHAD (CIMB),DIALOG-C38: CW DIALOG GROUP BERHAD (RHB),DIALOG-C39: CW DIALOG GROUP BERHAD (KIBB),DIALOG-C40: CW DIALOG GROUP BERHAD (MACQ),DIALOG-C41: CW DIALOG GROUP BERHAD (RHB),DIALOG-C42: CW DIALOG GROUP BERHAD (KIBB),DIALOG-C43: CW DIALOG GROUP BERHAD (AM),DIALOG-C44: CW DIALOG GROUP BERHAD (CIMB),HENGYUAN-C1: CW HENGYUAN REFINING COMPANY BERHAD (RHB),HENGYUAN-C2: CW HENGYUAN REFINING COMPANY BERHAD (MACQ),HENGYUAN-C4: CW HENGYUAN REFINING COMPANY BERHAD (KIBB),HENGYUAN-C5: CW HENGYUAN REFINING COMPANY BERHAD (MIBB),HENGYUAN-C6: CW HENGYUAN REFINING COMPANY BERHAD (RHB),HENGYUAN-C7: CW HENGYUAN REFINING COMPANY BERHAD (MIBB),HENGYUAN-C8: CW HENGYUAN REFINING COMPANY BERHAD (MACQ),HENGYUAN-C9: CW HENGYUAN REFINING COMPANY BERHAD (KIBB),HENGYUAN-CZ: CW HENGYUAN REFINING COMPANY BERHAD (MIBB),HIBISCS-CK: CW HIBISCUS PETROLEUM BERHAD (KIBB),HIBISCS-CM: CW HIBISCUS PETROLEUM BERHAD (MIBB),HIBISCS-CN: CW HIBISCUS PETROLEUM BERHAD (RHB),HIBISCS-CO: CW HIBISCUS PETROLEUM BERHAD (RHB),HIBISCS-CP: CW HIBISCUS PETROLEUM BERHAD (AM),HIBISCS-CQ: CW HIBISCUS PETROLEUM BERHAD (RHB),HIBISCS-CR: CW HIBISCUS PETROLEUM BERHAD (KIBB),HIBISCS-CS: CW HIBISCUS PETROLEUM BERHAD (MIBB),HIBISCS-CT: CW HIBISCUS PETROLEUM BERHAD (MIBB),HIBISCS-CU: CW HIBISCUS PETROLEUM BERHAD (KIBB),HIBISCS-CV: CW HIBISCUS PETROLEUM BERHAD (AM),HIBISCS-CW: CW HIBISCUS PETROLEUM BERHAD (CIMB),MHB-C13: CW MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD (MACQ),PETRONM-CS: CW PETRON MALAYSIA REFINING & MARKETING BERHAD (MIBB),PETRONM-CT: CW PETRON MALAYSIA REFINING & MARKETING BERHAD (KIBB),SAPNRGC68: CW SAPURA ENERGY BERHAD (RHB),SAPNRGC69: CW SAPURA ENERGY BERHAD (MACQ),SAPNRGC70: CW SAPURA ENERGY BERHAD (MIBB),SAPNRGC71: CW SAPURA ENERGY BERHAD (KIBB),SAPNRGC72: CW SAPURA ENERGY BERHAD (MACQ),SAPNRGC73: CW SAPURA ENERGY BERHAD (MACQ),SAPNRGC74: CW SAPURA ENERGY BERHAD (KIBB),SAPNRGC75: CW SAPURA ENERGY BERHAD (KIBB),SAPNRGC76: CW SAPURA ENERGY BERHAD (MACQ),SERBADK-CN: CW SERBA DINAMIK HOLDINGS BERHAD (MACQ),SERBADK-CO: CW SERBA DINAMIK HOLDINGS BERHAD (AM),SERBADK-CP: CW SERBA DINAMIK HOLDINGS BERHAD (KIBB),SERBADK-CQ: CW SERBA DINAMIK HOLDINGS BERHAD (RHB),SERBADK-CR: CW SERBA DINAMIK HOLDINGS BERHAD (MIBB),SERBADK-CS: CW SERBA DINAMIK HOLDINGS BERHAD (AM),VELESTO-C24: CW VELESTO ENERGY BERHAD (RHB),VELESTO-C25: CW VELESTO ENERGY BERHAD (KIBB),VELESTO-C26: CW VELESTO ENERGY BERHAD (MIBB),VELESTO-C27: CW VELESTO ENERGY BERHAD (KIBB),YINSON-CT: CW YINSON HOLDINGS BERHAD (CIMB),YINSON-CU: CW YINSON HOLDINGS BERHAD (AM),YINSON-CV: CW YINSON HOLDINGS BERHAD (RHB),YINSON-CW: CW YINSON HOLDINGS BERHAD (CIMB),YINSON-CX: CW YINSON HOLDINGS BERHAD (KIBB)
2019-02-26,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.20000000000000004,-0.2857142857142857,0.0,0.0,-0.07692307692307697,0.0,0.0,-0.07407407407407414,-0.04347826086956525,-0.06250000000000007,,,0.0,0.0,0.0,0.0,0.0,-0.07500000000000008,,,-0.14285714285714296,0.0,-0.15,-0.1764705882352941,-0.11111111111111106,-0.15384615384615388,-0.1111111111111112,-0.0833333333333333,-0.09090909090909087,-0.09999999999999992,-0.10000000000000007,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,-0.14285714285714296,-0.14285714285714296,-0.11764705882352952,,0.0,0.0,-0.1052631578947368,-0.027777777777777804,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,
2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14285714285714296,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.027027027027027053,,,0.16666666666666682,0.0,0.0,0.0,0.0,0.0,0.0,-0.0454545454545455,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666674,,0.0,-0.375,0.05882352941176459,0.0,0.0,,0.0,0.0,0.0,,0.7500000000000001,0.0,0.0,,
2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666666666666666,0.0,-0.0833333333333333,0.0,0.0,-0.06666666666666654,,,0.0,0.0,0.0,0.0,-0.0833333333333333,0.1052631578947368,,,-0.14285714285714296,-0.6,-0.05882352941176475,0.4285714285714285,0.0,0.0,-0.04166666666666659,-0.04761904761904753,0.0,0.0,-0.055555555555555455,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06250000000000007,,-0.2500000000000001,0.0,0.0,0.0,0.0,,0.0,0.0,-0.07692307692307697,0.0,0.0,0.0,0.0,,
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.10000000000000007,0.0,0.0,-0.07999999999999996,-0.0454545454545455,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.12499999999999993,0.0,0.0,0.0,0.08695652173913039,0.15,0.04999999999999991,-0.03703703703703707,0.11764705882352935,,,0.0,0.0,,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.14285714285714296,0.0,0.0,,
2019-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.04347826086956513,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.04761904761904753,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307697,-0.05263157894736847,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-0.05882352941176475,,0.0,-0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.20000000000000004,0.0,0.0,0.0,0.0,-0.09090909090909087,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.05000000000000005,,,0.0,0.0,0.05555555555555562,-0.15,0.0,0.09090909090909087,0.040000000000000036,0.0,0.04761904761904767,0.035714285714285546,0.05555555555555562,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06250000000000007,,0.0,0.0,0.0,0.0,-0.030303030303030325,-0.3,0.0,0.0,0.08333333333333341,0.06666666666666674,0.0,0.0,0.0,,
2019-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.04761904761904753,-0.03571428571428574,0.0,,0.0,0.0,0.0,0.16666666666666682,0.18181818181818185,0.2368421052631578,,,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.07692307692307697,0.04347826086956513,0.0,0.03448275862068969,0.05263157894736847,0.12499999999999993,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666682,0.06666666666666674,,0.0,0.0,0.0,-0.05714285714285704,0.0,0.0,0.0,0.0,0.30769230769230776,0.12499999999999993,0.0,0.0,0.0,,
2019-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.07692307692307697,0.021276595744680868,,,0.16666666666666682,-0.5,0.0,0.0,0.0,-0.0833333333333333,-0.10714285714285723,-0.04166666666666659,0.0,0.0,-0.05000000000000005,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.030303030303030325,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,,
2019-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0833333333333333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.10416666666666664,-0.03703703703703707,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04347826086956525,0.0,-0.03333333333333337,-0.05263157894736847,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.14285714285714296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055555555555555455,0.0,0.0,0.0,,
2019-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05000000000000005,0.0,0.0,0.07142857142857129,0.0,0.0,0.0,0.0,0.0,-0.046511627906976785,-0.038461538461538484,,0.0,0.0,-0.21052631578947373,-0.35000000000000003,0.0,-0.18181818181818185,-0.07999999999999996,-0.13636363636363635,0.0,0.0,-0.11111111111111106,0.0,-0.5,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2019-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048780487804878085,0.040000000000000036,,-0.14285714285714296,0.0,0.13333333333333347,0.07692307692307697,-0.06250000000000007,0.11111111111111124,0.04347826086956513,0.1052631578947368,0.0,0.0,0.06250000000000007,-0.16666666666666666,0.13333333333333347,0.0,0.0,,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.06250000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470587,0.29411764705882343,0.0,0.0,0.0,0.0,
2019-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111124,0.0,0.0,0.0454545454545455,0.0,0.0,-0.3333333333333333,0.06666666666666674,0.0,0.0,0.0,0.0,0.08333333333333341,0.0232558139534884,0.038461538461538484,,0.16666666666666682,0.0,0.0,-0.07142857142857148,0.0,0.0,-0.04166666666666659,0.0,0.0,0.0,0.0,0.06666666666666674,0.0,-0.3333333333333333,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333334,0.05882352941176459,0.06666666666666674,0.0,0.0,0.0,-0.05882352941176475,0.0,0.05555555555555562,0.0,0.2500000000000001,0.0,0.0454545454545455,-0.2500000000000001,0.0,0.0,0.0,
2019-03-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04347826086956525,-0.05000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15909090909090912,0.0,,0.0,0.0,0.11764705882352935,0.15384615384615374,0.0,0.09999999999999996,0.13043478260869565,0.09523809523809533,0.0,0.0,0.1764705882352941,0.06250000000000007,0.1764705882352941,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.16666666666666682,0.0,0.0,0.12499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809533,0.0,0.0,0.0,0.0,-0.3,
2019-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000007,0.0,0.0,0.0454545454545455,0.1052631578947368,0.0,0.0,-0.06250000000000007,-0.75,0.0,0.0,0.0,0.0,-0.09803921568627448,0.0,,-0.2857142857142857,0.0,-0.1052631578947368,-0.06666666666666654,0.0,0.0,-0.038461538461538484,-0.04347826086956525,0.0,0.0,-0.05000000000000005,0.0,-0.05000000000000005,0.0,0.0,,0.0,0.0,0.5454545454545455,1.0,0.0,0.28571428571428553,0.12499999999999993,0.11111111111111124,0.05555555555555562,0.0,0.0,0.0,0.06250000000000007,-0.06250000000000007,0.05263157894736847,0.0,0.0,0.04347826086956513,0.0,0.0,0.0,0.0,0.0,
2019-03-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.2727272727272727,0.0,-0.375,0.0,-0.04347826086956525,-0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15384615384615388,-0.04347826086956525,0.0,,-0.20000000000000004,0.0,0.0,0.0,0.0,-0.09090909090909087,-0.040000000000000036,0.0,0.0,0.0,-0.05263157894736847,-0.05882352941176475,-0.05263157894736847,0.0,0.0,,0.0,0.0,-0.1764705882352941,0.0,0.0,0.11111111111111124,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04347826086956525,0.0,,0.0,-0.04761904761904753,
2019-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02272727272727275,-0.07407407407407414,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0454545454545455,0.0,0.0,-0.055555555555555455,0.0,-0.11111111111111106,0.0,0.0,,0.0,-0.5,0.0,0.0,0.0,-0.3,-0.11111111111111106,-0.10000000000000007,-0.1052631578947368,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09090909090909087,0.0,,0.0,-0.05000000000000005,
2019-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11111111111111106,0.0,0.0,-0.09090909090909087,-0.05263157894736847,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.046511627906976785,-0.040000000000000036,,-0.5,,-0.05882352941176475,-0.07142857142857148,0.0,-0.10000000000000007,-0.04166666666666659,-0.04761904761904753,0.0,-0.10344827586206888,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.21052631578947373,
2019-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,-0.04878048780487796,0.0,,0.0,,0.06250000000000007,0.15384615384615374,0.06666666666666674,0.0,0.08695652173913039,0.09999999999999996,0.0,0.0,0.05882352941176459,0.0,0.1875,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555562,0.0,-0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,0.0,0.04347826086956513,
2019-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02564102564102566,0.0,,0.0,,0.1764705882352941,0.13333333333333347,0.0,0.4444444444444445,0.1200000000000001,0.13636363636363635,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.12499999999999993,-0.05263157894736847,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22222222222222213,,0.0,0.0,
2019-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05263157894736847,-0.125,0.0,0.0,,-0.15,-0.11764705882352952,0.0,0.0,-0.14285714285714296,-0.12,0.0,0.0,-0.14285714285714285,0.06250000000000007,-0.15789473684210525,0.0,0.0,,0.0,0.0,-0.14285714285714296,-0.5,0.0,-0.14285714285714296,0.0,0.0,-0.05882352941176475,0.0,,-0.2,0.0,0.0,-0.10000000000000007,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333326,-0.04761904761904753,0.0,0.0,,0.05882352941176459,0.0,0.0,-0.15384615384615388,0.04166666666666671,0.0,0.0,0.0,0.0,0.0,0.12499999999999993,0.0,0.0,,0.0,0.0,0.0,0.0,0.4999999999999999,-0.1666666666666666,0.0,-0.055555555555555455,-0.06250000000000007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05000000000000005,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.030303030303030325,0.09999999999999996,0.0,-0.5,,0.05555555555555562,0.0,0.0,0.0,0.040000000000000036,0.0454545454545455,0.0,0.0,0.05555555555555562,0.05882352941176459,0.05555555555555562,0.0,0.0,,,0.0,0.0,0.0,0.0,0.1999999999999999,-0.14285714285714296,-0.05882352941176475,0.0,0.0,,0.0,0.0,-0.13333333333333328,0.0,,0.0,0.0,0.0,-0.14285714285714296,,0.0,0.0,0.0
2019-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14285714285714296,0.0,0.0,0.0,-0.055555555555555455,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.0454545454545455,0.0,0.0,,-0.1052631578947368,0.0,0.0,-0.09090909090909087,-0.038461538461538484,-0.04347826086956525,-0.2272727272727272,0.0,0.0,-0.11111111111111106,0.0,0.0,0.0,,,0.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.038461538461538484,0.0,,0.0,0.0,-0.05000000000000005,0.0,,0.0,-0.0833333333333333,0.0
2019-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.3666666666666665,0.0,,0.0,0.0,0.0,0.09999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-0.05263157894736847,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3333333333333334,,0.0,0.0,0.0
2019-04-01,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.08333333333333341,,,0.0,0.0,0.0,0.0,-0.04761904761904753,-0.05263157894736847,,,0.0,0.0,0.0,0.0,0.040000000000000036,0.0454545454545455,0.0,0.0,-0.05263157894736847,0.0,-0.055555555555555455,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.06250000000000007,0.06666666666666674,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.05263157894736847,-0.2500000000000001,,0.0,0.0,0.0
2019-04-02,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.1111111111111112,0.0,-0.07692307692307697,,,-0.8333333333333333,0.0,0.0,0.0,0.0,0.05555555555555562,,,0.1764705882352941,0.06666666666666674,0.0,0.0,0.038461538461538484,0.04347826086956513,0.0,0.0,0.05555555555555562,0.2500000000000001,0.11764705882352935,,0.0,0.0,,0.0,0.0,0.0,0.0,0.16666666666666682,0.16666666666666682,0.11764705882352935,0.06250000000000007,,,0.0,0.0,0.0,-0.055555555555555455,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-04-03,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.05263157894736847,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.029411764705882214,0.0,0.0,,,0.0,0.0,0.0,0.0,0.03703703703703707,0.04166666666666671,0.0,0.15384615384615374,0.05263157894736847,0.0,0.1052631578947368,,0.0,0.0,,0.0,-0.0833333333333333,0.0,0.0,0.0,0.0,-0.05263157894736847,0.0,,,0.0,0.0,-0.040000000000000036,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-04-04,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.16666666666666682,0.0,0.0,0.05555555555555562,0.05882352941176459,0.0,0.0,0.0,,,0.0,0.0,0.0,0.1142857142857144,0.04999999999999991,0.0,,,0.0,-0.06250000000000007,0.0,0.0,-0.03571428571428574,-0.040000000000000036,0.0,0.0,0.0,-0.05000000000000005,-0.04761904761904753,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.14285714285714296,0.0,0.0,0.0,,,0.0,-0.14705882352941188,0.0,0.0,,0.0,-0.2083333333333333,0.0,-0.1666666666666666,,0.0,0.0,0.0
2019-04-05,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.05263157894736847,-0.055555555555555455,0.0,0.0,0.0,,,0.0,0.0,-0.18181818181818185,0.02564102564102566,0.09523809523809533,0.1052631578947368,,,0.0,0.06666666666666674,0.06250000000000007,0.0,0.03703703703703707,0.08333333333333341,0.0,0.0,0.04999999999999991,0.05263157894736847,0.04999999999999991,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176459,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.04999999999999991,0.0,,0.0,0.0,0.0
2019-04-08,,,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,,,0.0,0.0,0.0,0.0,0.11111111111111124,0.05882352941176459,0.04166666666666671,0.05882352941176459,0.25,,,0.0,0.0,0.0,0.04999999999999991,0.04347826086956513,0.04761904761904767,,,0.24999999999999994,0.2500000000000001,0.1764705882352941,0.2727272727272728,0.17857142857142852,0.15384615384615374,0.2352941176470587,0.2,0.19047619047619047,0.15,0.2380952380952382,,0.0,0.0,,0.0,-0.09090909090909087,0.0,0.0,0.0,0.0,0.0,-0.055555555555555455,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0454545454545455,0.0
2019-04-09,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,-0.04761904761904753,-0.0833333333333333,0.0,,,-0.040000000000000036,0.04999999999999991,0.09999999999999996,0.07142857142857129,-0.06060606060606065,0.0,0.0,-0.027777777777777804,-0.07999999999999996,0.04347826086956513,-0.038461538461538484,,0.0,0.0,,0.0,-0.10000000000000007,0.0,0.0,0.0,0.0,-0.055555555555555455,-0.05882352941176475,,,0.0,0.0,0.0,0.0,,-0.7999999999999999,0.0,0.0,0.0,,0.0,-0.04347826086956525,0.0
2019-04-10,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13333333333333328,,,0.0,0.0,-0.11111111111111106,0.0,0.0,-0.09090909090909087,,,-0.04166666666666659,-0.14285714285714285,0.0,0.0,0.0,-0.06666666666666654,-0.04761904761904753,-0.02857142857142844,0.0,-0.125,-0.040000000000000036,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.14285714285714296,-0.05882352941176475,0.0,,,0.0,0.0,0.0,0.0,,0.0,-0.1052631578947368,0.0,0.0,,0.0,0.0,0.0
2019-04-11,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-0.14285714285714296,0.0,0.0,-0.10000000000000007,-0.055555555555555455,0.0,-0.11111111111111106,0.0,,,0.0,0.0,0.0,-0.05000000000000005,0.0,-0.05000000000000005,,,0.0,-0.055555555555555455,0.0,-0.13333333333333328,-0.06451612903225812,-0.03571428571428574,0.0,0.0,-0.04347826086956525,0.0,-0.04166666666666659,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.1666666666666666,0.0,0.0,-0.06250000000000007,,,0.0,0.0,0.0,0.05882352941176459,,0.0,0.0,0.0,0.1999999999999999,,0.0,0.0,0.0
2019-04-12,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.055555555555555455,-0.05882352941176475,0.0,0.0,0.0,,,0.0,0.0,0.0,-0.02631578947368424,-0.0454545454545455,0.0,,,0.0,0.0,0.0,-0.07692307692307697,0.0,0.0,0.0,0.0,-0.0454545454545455,-0.04761904761904753,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.1999999999999999,0.0,0.12499999999999993,0.06666666666666674,,,0.0,0.03448275862068969,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
